país,percepção de corrupção,nível de felicidade
Nova Zelândia,1,8
Dinamarca,1,2
Finlândia,3,5
Suécia,4,9
Suíça,5,4
Noruega,6,1
Cingapura,7,26
Países Baixos,8,6
Canadá,9,7
Alemanha,10,16
Luxemburgo,10,18
Reino Unido,10,19
Austrália,13,10
Islândia,14,3
Hong Kong,15,71
Bélgica,15,17
Áustria,17,13
Os Estados Unidos da América,18,14
Irlanda,19,15
Japão,20,51
Uruguai,21,28
Estônia,22,66
França,23,31
Chile,24,20
Emirados Árabes Unidos,24,21
Butão,27,97
Israel,28,11
Polônia,29,46
Portugal,29,89
Taiwan,31,33
Catar,31,35
Eslovênia,31,62
Botswana,35,142
Lituânia,38,52
Costa Rica,41,12
Espanha,41,34
Geórgia,44,125
Letônia,44,54
Chipre,47,65
República Checa,47,23
Malta,47,27
Maurícia,50,64
Ruanda,50,151
Coreia do Sul,52,55
Namíbia,53,111
Eslováquia,54,40
Malásia,55,42
Croácia,55,77
Jordânia,57,74
Hungria,57,75
Roménia,57,57
Itália,60,48
Arábia Saudita,62,37
Montenegro,64,83
Senegal,64,115
África do Sul,64,101
Grécia,69,87
Bahrein,70,41
Gana,70,131
Sérvia,72,73
Burkina Faso,72,134
Turquia,75,69
Kuwait,75,39
Tunísia,75,102
Bulgária,75,105
Brasil,79,22
China,79,79
Índia,79,122
Bielorrússia,79,67
Jamaica,83,76
Albânia,83,109
Bósnia e Herzegovina,83,90
Lesoto,83,139
Panamá,87,30
Mongólia,87,100
Zâmbia,87,116
Colômbia,90,36
Indonésia,90,81
A ARJ da Macedônia,90,92
Marrocos,90,84
Libéria,90,148
Argentina,95,24
El Salvador,95,45
Sri Lanka,95,120
Kosovo,95,78
Benin,95,143
Peru,101,63
Trinidad e Tobago,101,38
Filipinas,101,72
Tailândia,101,32
Gabão,101,118
Níger,101,135
Argélia,108,53
Egito,108,104
Côte d'Ivoire,108,128
Etiópia,108,119
Bolívia,113,58
Vietnã,113,94
Armênia,113,121
Paquistão,116,80
Mali,116,127
Tanzânia,116,153
Togo,116,150
República Dominicana,120,86
Equador,120,44
Malawi,120,136
Honduras,123,91
México,123,25
Paraguai,123,70
Azerbaijão,123,85
Moldávia,123,56
Serra Leoa,123,106
Nepal,131,99
Cazaquistão,131,60
Rússia,131,49
Ucrânia,131,132
Irã,131,108
Guatemala,136,29
Myanmar,136,114
Quirguistão,136,98
Líbano,136,88
Nigéria,136,95
Guiné,142,149
Mauritânia,142,123
Moçambique,142,113
Nicarágua,145,43
Bangladesh,145,110
Camarões,145,107
Quênia,145,112
Madagáscar,145,144
Tajiquistão,151,96
Uganda,151,133
Turquemenistão,154,59
Zimbábue,154,138
Camboja,156,129
Uzbequistão,156,47
República Democrática do Congo,156,126
Haiti,159,145
Burundi,159,154
República Centro-Africana,159,155
Chade,159,137
República do Congo,159,124
Angola,164,140
Venezuela,166,82
Iraque,166,117
Afeganistão,169,141
Líbia,170,68
Iémen,170,146
Sudão,170,130
Síria,173,152
Sudão do Sul,175,147
Somália,176,93
